Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-14,OKC,SAS,0,36,14.88,7,4,3,1,0,0,0,0,2,0,0,1,3,9,13
2023-11-16,OKC,GSW,1,19,17.6,3,3,0,0,0,0,2,5,3,0,0,0,3,6,16
2023-11-18,OKC,GSW,1,7,22.25,3,0,1,0,1,2,1,4,1,1,0,0,2,1,7
2023-11-19,OKC,POR,1,43,7.8,2,1,1,1,0,0,0,1,3,0,0,0,2,3,11
2023-11-22,OKC,CHI,0,14,23.33,6,5,3,3,0,2,1,5,2,0,0,0,0,13,10
2023-11-25,OKC,PHI,0,-4,18.87,5,4,3,2,1,2,0,2,2,1,0,0,2,11,-3
2023-11-28,OKC,MIN,1,-3,15.3,3,1,2,0,0,0,1,2,0,0,0,0,4,2,1
2023-11-30,OKC,LAL,0,23,18.75,4,0,1,0,1,2,0,2,3,2,0,0,3,1,10
2023-12-02,OKC,DAL,1,6,11.35,4,2,1,1,0,0,3,6,0,0,0,2,1,5,-13
2023-12-06,OKC,HOU,1,-9,14.85,5,3,4,2,0,2,0,2,1,0,2,0,1,8,-1
2023-12-08,OKC,GSW,0,2,8.98,4,1,3,0,0,0,0,2,0,0,0,0,1,2,2
2023-12-11,OKC,UTA,0,14,6.62,1,1,0,0,0,0,0,2,1,1,0,0,0,2,0
2023-12-14,OKC,SAC,1,-5,10.83,5,1,2,0,0,0,0,0,1,0,0,0,1,2,-5
2023-12-16,OKC,DEN,1,1,12.5,4,1,1,0,0,0,3,5,0,0,0,0,4,2,-7
2023-12-18,OKC,MEM,0,19,15.48,3,2,3,2,0,0,0,4,3,0,0,1,0,6,26
2023-12-21,OKC,LAC,0,19,17.92,2,2,1,1,0,0,0,2,3,2,0,0,1,5,0
2023-12-23,OKC,LAL,0,-9,22.83,6,4,4,3,0,0,1,2,5,1,1,0,2,11,1
2023-12-26,OKC,MIN,0,23,16.45,4,2,3,2,0,0,0,3,2,1,0,0,0,6,9
2023-12-27,OKC,NYK,0,9,20.57,1,1,1,1,0,0,0,1,1,2,0,0,1,3,3
2023-12-29,OKC,DEN,1,26,14.77,7,2,4,1,0,0,1,2,0,1,0,0,2,5,-4
2023-12-31,OKC,BRK,0,16,17.75,4,1,2,0,0,0,0,4,2,0,0,0,0,2,7
2024-01-02,OKC,BOS,0,4,13.43,3,1,1,0,0,0,3,4,2,0,0,0,4,2,-1
2024-01-05,OKC,BRK,1,-9,11.53,1,0,0,0,0,0,0,1,1,1,0,3,2,0,-12
2024-01-08,OKC,WAS,1,8,17.23,3,1,1,0,0,0,2,3,2,1,0,1,2,2,3
2024-01-10,OKC,MIA,1,8,16.7,4,3,2,1,0,0,1,6,2,0,0,2,0,7,6
2024-01-11,OKC,POR,0,62,10.1,4,1,2,0,0,0,0,0,0,0,0,0,0,2,8
2024-01-13,OKC,ORL,0,12,16.45,2,1,2,1,0,0,0,5,2,0,0,0,1,3,7
2024-01-15,OKC,LAL,1,-7,16.52,5,2,3,1,0,0,0,2,0,1,0,0,1,5,3
2024-01-16,OKC,LAC,1,-11,16.23,4,1,4,1,0,0,2,6,1,1,1,1,1,3,1
2024-01-18,OKC,UTA,1,5,17.0,7,4,3,1,0,0,1,4,2,1,0,1,2,9,-4
2024-01-20,OKC,MIN,1,5,9.63,2,0,2,0,0,0,0,3,0,1,0,1,1,0,-1
2024-01-23,OKC,POR,0,2,13.32,5,2,2,1,0,0,1,4,0,1,0,1,0,5,-18
2024-01-24,OKC,SAS,1,26,10.32,4,3,2,1,0,0,1,3,0,1,1,0,1,7,21
2024-01-26,OKC,NOP,1,24,13.05,5,4,1,0,0,0,1,4,0,1,0,1,0,8,1
2024-01-28,OKC,DET,1,-16,13.8,4,1,2,0,0,0,0,1,0,1,0,0,1,2,0
2024-01-29,OKC,MIN,0,-6,16.8,8,3,5,2,0,0,1,1,0,1,0,0,1,8,-7
2024-01-31,OKC,DEN,0,5,16.98,1,0,0,0,0,0,3,5,0,0,0,0,2,0,6
2024-02-02,OKC,CHO,0,20,10.4,5,3,3,2,0,0,0,3,0,0,1,0,2,8,-4
2024-02-04,OKC,TOR,0,8,25.67,4,2,2,1,0,0,2,4,1,1,0,0,1,5,16
2024-02-06,OKC,UTA,1,-7,13.38,4,0,2,0,0,0,1,1,2,1,0,1,2,0,1
2024-02-10,OKC,DAL,1,-35,13.28,2,0,1,0,0,0,1,1,2,0,0,0,5,0,-18
2024-02-11,OKC,SAC,0,14,10.75,3,2,2,2,0,0,0,1,1,0,0,0,0,6,-2
2024-02-13,OKC,ORL,1,14,9.83,1,0,1,0,0,0,0,2,2,0,0,0,0,0,7
2024-02-22,OKC,LAC,0,22,15.08,7,3,3,1,0,0,1,5,0,0,0,0,1,7,21
2024-02-23,OKC,WAS,0,41,14.43,6,4,6,4,0,0,0,2,1,0,0,1,2,12,17
2024-02-25,OKC,HOU,1,13,4.73,1,1,0,0,0,0,0,1,0,0,0,0,1,2,-10
2024-02-27,OKC,HOU,0,17,11.62,2,0,2,0,0,0,0,5,0,0,0,0,0,0,6
2024-02-29,OKC,SAS,1,-14,10.58,1,0,1,0,0,0,1,1,1,0,0,1,0,0,4
2024-03-03,OKC,PHO,1,8,9.05,0,0,0,0,0,0,0,3,3,0,0,0,1,0,14
2024-03-04,OKC,LAL,1,-12,9.18,4,1,2,0,0,0,1,1,2,0,0,0,1,2,-6
2024-03-06,OKC,POR,1,8,8.78,2,0,1,0,0,0,1,3,0,0,0,2,1,0,-15
2024-03-10,OKC,MEM,0,31,16.95,5,2,2,1,0,0,2,8,3,2,0,0,4,5,8
2024-03-12,OKC,IND,0,-10,9.23,1,0,1,0,0,0,2,4,2,0,0,0,1,0,-2
2024-03-14,OKC,DAL,0,7,6.92,3,2,2,1,0,0,1,2,0,0,0,0,1,5,4
2024-03-16,OKC,MEM,1,6,13.13,4,2,4,2,0,0,1,3,1,1,1,0,1,6,18
2024-03-22,OKC,TOR,1,20,23.12,7,5,3,2,0,0,3,5,2,4,0,0,0,12,8
2024-03-24,OKC,MIL,1,-25,18.93,7,2,3,0,2,2,1,4,2,1,0,0,3,6,-16
2024-03-26,OKC,NOP,1,7,18.08,4,3,1,0,0,0,1,3,2,1,0,0,1,6,4
2024-03-27,OKC,HOU,0,-6,19.53,5,2,3,1,0,0,5,9,1,1,0,0,4,5,8
2024-03-29,OKC,PHO,0,25,18.68,7,3,2,0,0,0,2,4,1,0,0,0,3,6,12
2024-03-31,OKC,NYK,1,1,10.4,4,3,2,1,0,0,1,2,1,0,1,0,1,7,9
2024-04-02,OKC,PHI,1,-4,14.28,4,3,2,2,0,0,1,1,0,1,0,1,1,8,-9
2024-04-03,OKC,BOS,1,-35,25.45,9,3,3,1,0,0,0,1,0,1,0,1,2,7,-22
2024-04-05,OKC,IND,1,-14,25.62,7,7,2,2,2,2,3,8,3,0,1,2,3,18,-10
2024-04-07,OKC,CHO,1,3,26.37,7,3,3,1,0,0,0,1,2,0,0,3,5,7,-1
2024-04-09,OKC,SAC,0,7,6.48,2,0,1,0,0,0,1,2,0,0,0,0,1,0,-14
2024-04-10,OKC,SAS,0,38,15.4,6,1,3,1,0,0,0,1,3,0,0,1,0,3,11
2024-04-12,OKC,MIL,0,18,14.25,2,2,1,1,0,0,0,3,1,1,0,0,1,5,8
2024-04-14,OKC,DAL,0,49,20.5,9,4,2,1,0,0,0,7,7,0,0,4,0,9,9
